time,sym,price,volume
2017-04-20 18:25:48.519526,APPL,,0
2017-04-20 18:26:51.190033,APPL,,0
2017-04-20 18:27:53.939250,APPL,,0
2017-04-20 18:28:56.717995,APPL,,0
2017-04-20 18:29:59.419287,APPL,,0
2017-04-20 18:31:02.158585,APPL,,0
2017-04-20 18:32:04.811173,APPL,,0
2017-04-20 18:33:09.090291,APPL,,0
2017-04-20 18:34:25.521954,APPL,,0
2017-04-20 18:35:28.235929,APPL,,0
2017-04-20 18:36:41.715507,APPL,,0
2017-04-20 18:37:44.380765,APPL,,0
2017-04-20 18:38:47.268321,APPL,,0
2017-04-20 18:40:00.803656,APPL,,0
2017-04-20 18:41:03.562557,APPL,,0
2017-04-20 18:42:06.145237,APPL,,0
2017-04-20 18:43:08.716206,APPL,,0
2017-04-20 18:44:11.386795,APPL,,0
2017-04-20 18:45:13.870460,APPL,,0
2017-04-20 18:46:16.918823,APPL,,0
2017-04-20 18:47:19.677201,APPL,,0
2017-04-20 18:48:22.268245,APPL,,0
2017-04-20 18:49:24.956547,APPL,,0
2017-04-20 18:50:27.777129,APPL,,0
2017-04-20 18:51:30.707526,APPL,,0
2017-04-20 18:52:33.325831,APPL,,0
2017-04-20 18:53:35.887367,APPL,,0
2017-04-20 18:54:38.503398,APPL,,0
2017-04-20 18:55:41.194152,APPL,,0
2017-04-20 18:56:44.247905,APPL,,0
2017-04-20 18:57:46.812535,APPL,,0
2017-04-20 18:58:49.315000,APPL,,0
2017-04-20 18:59:52.129134,APPL,,0
2017-04-20 19:00:56.082096,APPL,,0
2017-04-20 19:01:58.753813,APPL,,0
2017-04-20 19:03:01.601059,APPL,,0
2017-04-20 19:04:04.640400,APPL,,0
2017-04-20 19:05:07.182367,APPL,,0
2017-04-20 19:06:09.667104,APPL,,0
2017-04-20 19:07:12.204639,APPL,,0
2017-04-20 19:08:14.725383,APPL,,0
2017-04-20 19:09:17.316520,APPL,,0
2017-04-20 19:10:20.037784,APPL,,0
2017-04-20 19:11:22.789758,APPL,,0
2017-04-20 19:12:25.271034,APPL,,0
2017-04-20 19:13:29.128102,APPL,,0
2017-04-20 19:14:31.661461,APPL,,0
2017-04-20 19:15:34.395740,APPL,,0
2017-04-20 19:16:37.210943,APPL,,0
2017-04-20 19:17:39.737626,APPL,,0
2017-04-20 19:18:42.394500,APPL,,0
2017-04-20 19:19:45.745891,APPL,,0
2017-04-20 19:20:48.309169,APPL,,0
2017-04-20 19:21:51.085191,APPL,,0
2017-04-20 19:22:53.559916,APPL,,0
2017-04-20 19:23:56.262918,APPL,,0
2017-04-20 19:24:58.859575,APPL,,0
2017-04-20 19:26:02.011818,APPL,,0
2017-04-20 19:27:05.118781,APPL,,0
2017-04-20 19:28:08.991630,APPL,,0
2017-04-20 19:29:11.681835,APPL,,0
2017-04-20 19:30:17.178360,APPL,,0
2017-04-20 19:31:20.260638,APPL,,0
2017-04-20 19:32:23.039839,APPL,,0
2017-04-20 19:33:25.981904,APPL,,0
2017-04-20 19:34:28.913485,APPL,,0
2017-04-20 19:35:32.228130,APPL,,0
2017-04-20 19:36:36.086371,APPL,,0
2017-04-20 19:37:39.349447,APPL,,0
2017-04-20 19:38:42.617568,APPL,,0
2017-04-20 19:39:45.537184,APPL,,0
2017-04-20 19:40:48.781018,APPL,,0
2017-04-20 19:41:51.960025,APPL,,0
2017-04-20 19:42:55.154328,APPL,,0
2017-04-20 19:43:58.441190,APPL,,0
2017-04-20 19:45:01.830696,APPL,,0
2017-04-20 19:46:04.989101,APPL,,0
2017-04-20 19:47:07.862853,APPL,,0
2017-04-20 19:48:10.871999,APPL,,0
2017-04-20 19:49:13.447313,APPL,,0
2017-04-20 19:50:16.912250,APPL,,0
2017-04-20 19:51:20.024633,APPL,,0
2017-04-20 19:52:24.189773,APPL,,0
2017-04-20 19:53:26.873245,APPL,,0
2017-04-20 19:54:29.878340,APPL,,0
2017-04-20 19:55:33.328098,APPL,,0
2017-04-20 19:56:37.192756,APPL,,0
2017-04-20 19:57:42.384736,APPL,,0
2017-04-20 19:58:45.196825,APPL,,0
2017-04-20 19:59:49.834830,APPL,,0
2017-04-20 20:00:53.361470,APPL,,0
2017-04-20 20:01:56.125657,APPL,,0
2017-04-20 20:02:58.641635,APPL,,0
2017-04-20 20:04:03.125549,APPL,,0
2017-04-20 20:59:04.683532,APPL,,0
2017-04-20 21:00:09.100193,APPL,,0
2017-04-20 21:01:13.448909,APPL,,0
2017-04-20 21:02:17.208391,APPL,,0
2017-04-20 21:03:20.053596,APPL,,0
2017-04-20 21:04:22.855822,APPL,,0
2017-04-20 21:05:25.774880,APPL,,0
2017-04-20 21:06:28.585434,APPL,,0
2017-04-20 21:07:31.552268,APPL,,0
2017-04-20 21:08:34.439551,APPL,,0
2017-04-20 21:09:37.460401,APPL,,0
2017-04-20 21:10:40.414141,APPL,,0
2017-04-20 21:11:43.854732,APPL,,0
2017-04-20 21:12:47.095654,APPL,,0
2017-04-20 21:13:51.103533,APPL,,0
2017-04-20 21:14:54.163096,APPL,,0
2017-04-20 21:15:57.610116,APPL,,0
2017-04-20 21:17:00.528743,APPL,,0
2017-04-20 21:18:03.421334,APPL,,0
2017-04-20 21:19:06.520108,APPL,,0
2017-04-20 21:20:09.377150,APPL,,0
2017-04-20 21:21:12.249633,APPL,,0
2017-04-20 21:22:15.405195,APPL,,0
2017-04-20 21:23:18.251040,APPL,,0
2017-04-20 21:24:22.257145,APPL,,0
2017-04-20 21:25:25.754801,APPL,,0
2017-04-20 21:26:29.337124,APPL,,0
2017-04-20 21:27:38.926621,APPL,,0
2017-04-20 21:28:43.857417,APPL,,0
2017-04-20 21:29:48.617310,APPL,,0
2017-04-20 21:30:51.936979,APPL,,0
2017-04-20 21:31:56.135502,APPL,,0
2017-04-20 21:33:00.103362,APPL,,0
2017-04-20 21:34:03.395761,APPL,,0
2017-04-20 21:35:07.486211,APPL,,0
2017-04-20 21:36:13.666968,APPL,,0
2017-04-20 21:37:16.834347,APPL,,0
2017-04-20 21:38:21.311463,APPL,,0
2017-04-20 21:39:25.627597,APPL,,0
